Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_1019400	62	15	3	24	52	110	37	12	0	2	0	3	1	1	5	4	8	5	5	9	5	5	0	6	0	5	5	13	5.35	6	5	0.984	-0.023	-0.04	0.967855210349803	0.999204487240972	0	0.3957	0.2065	0.2065	TRUE	NA
PRELSG_1019500	322	75	9	106	249	410	148	46	0	5	0	21	6	1	27	20	23	21	23	32	21	21	0	16	0	34	31	13	20.06	24	16	0.845	-0.243	-0.677	0.498273598131168	0.999204487240972	0.0255	0.1393	0.0899	0.0899	TRUE	NA
PRELSG_1019550	115	21	0	21	101	105	45	7	1	1	0	1	0	0	10	6	0	4	9	8	6	3	18	3	0	2	0	0	4.96	6	4	0.465	-1.104	-1.555	0.119904220828431	0.999204487240972	0.0654	0.4229	0.3072	0.3072	TRUE	NA
PRELSG_1019600	196	56	6	94	171	277	113	34	1	2	1	3	1	2	16	15	15	18	16	22	16	15	18	6	25	5	5	26	15.64	17	14	0.651	-0.62	-1.34	0.180281340307807	0.999204487240972	0	0.1656	0.1351	0.1351	TRUE	NA
PRELSG_1019700	45	20	2	22	35	50	24	8	0	1	0	1	0	1	4	5	5	4	3	4	3	4	0	3	0	2	0	13	3.6	4	3	0.806	-0.312	-0.432	0.665572118237847	NA	0	0.5656	0.3188	0.3188	TRUE	NA
PRELSG_1019800	10	0	0	3	1	10	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	0	0	0	0.39	0	0	5.539	2.47	1.02	0.307668456617118	NA	0	4.8579	8.6299	8.6299	TRUE	NA
PRELSG_1019900	122	31	6	48	74	126	57	26	0	2	0	9	0	1	10	8	15	9	7	10	8	12	0	6	0	14	0	13	8.09	10	6	0.883	-0.179	-0.324	0.745645171443152	0.999204487240972	0	0.277	0.2174	0.2174	TRUE	NA
PRELSG_1020000	62	22	1	41	74	102	46	14	0	2	0	3	0	1	5	6	3	8	7	8	7	6	0	6	0	5	0	13	5.24	6	4	0.884	-0.178	-0.283	0.777029004402506	0.999204487240972	0	0.403	0.2589	0.2589	TRUE	NA
PRELSG_1020100	63	12	3	23	38	88	31	10	0	1	0	0	1	0	5	3	8	4	4	7	4	4	0	3	0	0	5	0	3.45	5	2	0.59	-0.761	-1.027	0.304440685166722	NA	0	0.5885	0.3754	0.3754	TRUE	NA
PRELSG_1020200	163	45	5	40	113	242	79	25	1	4	2	8	2	0	14	12	13	8	11	19	11	11	18	13	49	13	10	0	14.39	13	16	1.005	0.007	0.015	0.98786450298055	0.999765969376198	0.1057	0.176	0.1421	0.1421	TRUE	NA
PRELSG_1020300	40	2	2	12	15	45	16	7	0	2	0	4	2	1	3	1	5	2	1	4	2	3	0	6	0	6	10	13	4.12	3	5	2.366	1.242	1.887	0.0592149023052102	NA	0	0.4998	0.3117	0.3117	TRUE	NA
PRELSG_1020400	4	3	0	2	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	3.173	1.666	0.554	0.579905348296068	NA	0	13.504	14	14	TRUE	NA
PRELSG_1020500	15	7	1	4	15	31	7	5	0	1	0	1	0	0	1	2	3	1	1	2	1	2	0	3	0	2	0	0	1.3	2	1	1.553	0.635	0.687	0.492190822907462	NA	0	1.4785	0.7264	0.7264	TRUE	NA
PRELSG_1020600	5	0	0	0	2	15	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0.25	0	0	4.242	2.085	0.787	0.431161321832484	NA	0	7.4318	10.589	10.589	TRUE	NA
